date,species,treatment ,leaf,HCN
6/17/18,AMB garden,no herbivory,N,0.076199783
6/17/18,AMB garden,no herbivory,N,0.194314721
6/17/18,AMB garden,no herbivory,N,0.161361868
6/18/18,AMB garden H.doris 1 rest,larvae feeding,N,0.145702422
6/18/18,AMB garden H.doris 2 rest,larvae feeding,N,0.334836879
6/18/18,AMB garden H.doris 3 rest,larvae feeding,N,0.272750929
6/18/18,AMB garden H.doris 1 feed,larvae feeding,N,0.205019128
6/18/18,AMB garden H.doris 2 feed,larvae feeding,N,0.408844937
6/18/18,AMB garden H.doris 3 feed,larvae feeding,N,0.383452685
6/18/18,AMB garden H.doris 1 rest,larvae feeding,N,0.087311828
6/18/18,AMB garden H.doris 2 feed,larvae feeding,N,0.413404255
6/18/18,AMB garden H.doris 3 rest,larvae feeding,N,0.189639066
6/18/18,AMB garden H.doris 1 feed,larvae feeding,N,0.192684564
6/18/18,AMB garden H.doris 2 rest,larvae feeding,N,0.491066667
6/18/18,AMB garden H.doris 3 rest,larvae feeding,N,0.184164948
6/18/18,AMB garden H.doris 1 rest,larvae feeding,N,0.296214286
6/18/18,AMB garden H.doris 3 feed,larvae feeding,N,0.138165605
6/18/18,AMB garden H.doris 1 feed,larvae feeding,N,0.445357143
6/18/18,AMB garden H.doris 2 rest,larvae feeding,N,0.673119266
6/18/18,AMB garden H.doris 3 rest,larvae feeding,N,0.149264706
11/8/13,AMB garden,no herbivory,N3,3.608
11/8/13,AMB garden,no herbivory,N5,4.488
11/8/13,AMB garden,no herbivory,M7,3.015
2/15/14,AMB garden,no herbivory,N3,0.828
2/15/14,AMB garden,no herbivory,N7,1.239
2/15/14,AMB garden,no herbivory,N4,0.379
2/15/14,AMB garden,no herbivory,N6,0.655
2/15/14,AMB garden,no herbivory,N8,0.74
2/15/14,AMB garden,no herbivory,N2 1/2 size,0.195
2/15/14,AMB garden,no herbivory,M9,0.733
2/17/14,AMB garden,no herbivory,N2,0.41
2/17/14,AMB garden,no herbivory,N3,0.171
2/17/14,AMB garden,no herbivory,N5,0.232
2/17/14,AMB garden,no herbivory,N4,0.16
2/17/14,AMB garden,no herbivory,N6,0.741
2/17/14,AMB garden,no herbivory,N7,0.891
2/17/14,AMB garden,no herbivory,N8,1.24
2/17/14,AMB garden,no herbivory,M9,0.745
2/17/14,AMB garden,no herbivory,M10,1.211
2/23/14,AMB garden,no herbivory,N1,0.143
2/23/14,AMB garden,no herbivory,N4,0.723
2/23/14,AMB garden,no herbivory,N5,0.348
2/23/14,AMB garden,no herbivory,N0,0.251
2/23/14,AMB garden,no herbivory,N6,0.801
2/23/14,AMB garden,no herbivory,M7,0.951
2/23/14,AMB garden,no herbivory,M8,1.086
2/23/14,AMB garden,no herbivory,M9,0.99
2/23/14,AMB garden,no herbivory,M10,0.616
2/25/14,AMB garden,no herbivory,N0,0.143
2/25/14,AMB garden,no herbivory,N1,0.198
2/25/14,AMB garden,no herbivory,N4,0.681
2/25/14,AMB garden,no herbivory,M6,0.494
2/25/14,AMB garden,no herbivory,M7,1.137
2/25/14,AMB garden,no herbivory,M8,0.817
2/25/14,AMB garden,no herbivory,M9,0.957
2/25/14,AMB garden,no herbivory,M11,0.608
8/20/15,AMB garden,no herbivory,M,0.525
8/20/15,AMB garden,no herbivory,M,0.242
10/1/15,AMB garden,no herbivory,N,0.178
12/1/15,AMB garden,no herbivory,N,0.87
6/17/18,AMB garden,no herbivory,N,0.076
6/17/18,AMB garden,no herbivory,N,0.194
6/17/18,AMB garden,no herbivory,N,0.161
6/19/18,AMB garden H.doris 1 feed,larvae feeding,N,0.437697674
6/19/18,AMB garden H.doris 2 feed,larvae feeding,N,0.61026087
6/19/18,AMB garden H.doris 1 feed,larvae feeding,N,0.186382022
6/19/18,AMB garden H.doris 2 feed,larvae feeding,N,0.48426506
6/19/18,AMB garden H.doris 3 feed,larvae feeding,N,0.280566265
6/20/18,AMB garden H.doris 1 rest,larvae feeding,N,0.461158901
6/20/18,AMB garden H.doris 2 rest,larvae feeding,N,0.555047801
6/20/18,AMB garden H.doris 3 rest,larvae feeding,N,0.15758982
6/20/18,AMB garden H.doris 2 rest,larvae feeding,M,0.370361446
6/20/18,AMB garden H.doris 2 feed,larvae feeding,M,0.348528073
6/21/18,AMB garden H.doris 1 rest,larvae feeding,M,0.499304348
6/21/18,AMB garden H.doris 2 feed,larvae feeding,M,0.287819549
6/21/18,AMB garden H.doris 3 rest,larvae feeding,M,0.17935743
6/21/18,AMB garden H.doris 2 feed,larvae feeding,M,0.19575
6/21/18,AMB garden H.doris 2 rest,larvae feeding,M,0.103021915
6/21/18,AMB garden,no herbivory,M,0.107803379
6/22/18,AMB garden H.doris 1 rest,larvae feeding,M,0.332189893
6/22/18,AMB garden H.doris 2 rest,larvae feeding,M,0.444177215
6/22/18,AMB garden H.doris 3 feed,larvae feeding,M,0.182512438
6/23/18,AMB garden H.doris 1 feed,larvae feeding,M,0.29604573
6/23/18,AMB garden H.doris 2 feed,larvae feeding,M,0.099215686
6/23/18,AMB garden H.doris 3 feed,larvae feeding,M,0.116885496
6/25/18,AMB garden H.doris 1 feed,larvae feeding,M,0.188024113
6/25/18,AMB garden H.doris 2 rest,larvae feeding,M,0.311581395
6/25/18,AMB garden H.doris 3 rest,larvae feeding,M,0.202979031
6/25/18,AMB garden H.doris 1 rest,larvae feeding,M,0.206186519
6/25/18,AMB garden H.doris 2 rest,larvae feeding,M,0.082145923
6/25/18,AMB garden H.doris 3 feed,larvae feeding,M,0.039072616
6/25/18,AMB garden H.doris 1 feed,larvae feeding,M,0.205269565
6/25/18,AMB garden H.doris 2 rest,larvae feeding,M,0.064925373
6/25/18,AMB garden H.doris 3 rest,larvae feeding,M,0.094680365