date,sample,replicate,cup,chamber,t0,t1,ppm1,t2,ppm2,t3,ppm3,t4,ppm4,t5,ppm5,t6,ppm6,t7,ppm7,t8,ppm8,t9,ppm9,t10,ppm10,t11,ppm11,t12,ppm12,t13,ppm13,t14,ppm14,t15,ppm15,t16,ppm16,ppmTOTAL,ppmAVG,umol,mg,ug.hcn,NOTES
12/11/19,0.5,1,1,cup,12:51,12:56,16.2,13:01,10.9,13:06,9.4,13:11,3.8,13:16,2,13:21,0.8,13:26,0.3,13:31,0,,,,,,,,,,,,,,,,,43.4,,0.2307,1.2,70.91,
12/11/19,1,1,2,cup,13:34,13:39,21.4,13:44,18.6,13:49,11.9,13:54,7.7,13:59,6.7,14:04,7.2,14:09,4,14:14,2.6,14:19,1.8,14:24,1.5,14:29,0.9,14:34,0.7,14:39,0.3,14:44,0,,,,,85.3,,0.2268,2.4,141.82,
12/11/19,0.5,2,1,cup,14:49,14:54,11.6,14:59,7.5,15:04,7.1,15:09,5.4,15:14,3.5,15:19,1.8,15:24,1.3,15:29,0.4,15:34,0,,,,,,,,,,,,,,,38.6,,0.2052,1.2,70.91,
12/11/19,0.5,3,2,cup,14:50,14:55,12.4,15:00,9,15:05,8.8,15:10,5.7,15:15,3.6,15:20,2,15:25,1.4,15:30,0.7,15:35,0.3,15:40,0,,,,,,,,,,,,,43.9,42,0.2334,1.2,70.91,
12/11/19,0.1,1,3,cup,14:51,14:56,4.9,15:01,2.9,15:06,3,15:11,1,15:16,0.6,15:21,0,,,,,,,,,,,,,,,,,,,,,12.4,,0.3296,0.24,14.18,
12/11/19,1,2,1,cup,16:14,16:19,11.9,16:24,14.3,16:29,14.3,16:34,9,16:39,5.5,16:44,4.9,16:49,2.4,16:54,1.8,16:59,0.9,17:04,0.4,17:09,0.3,17:14,0,,,,,,,,,65.7,,0.1747,2.4,141.82,
12/11/19,1,3,2,cup,16:15,16:20,13,16:25,14.7,16:30,15.1,16:35,11.1,16:40,6.3,16:45,6.4,16:50,3,16:55,2.8,17:00,1.4,17:05,0.8,17:10,0.5,17:15,0.3,17:20,0,,,,,,,75.4,75.5,0.2004,2.4,141.82,
12/11/19,0.1,2,3,cup,16:16,16:21,3.3,16:26,2.6,16:31,2.5,16:36,1.2,16:41,0.6,16:46,0.4,16:51,0.3,16:56,0.4,17:01,0,,,,,,,,,,,,,,,11.3,,0.3004,0.24,14.18,
12/12/19,2,1,2,cup,10:29,10:34,31.8,10:39,49,10:44,33.8,10:49,28.8,10:54,8.4,10:59,7,11:04,4.8,11:09,2.6,11:14,2.4,11:19,1.1,11:24,0.6,11:29,0.4,11:34,0.3,11:39,0,,,,,171,,0.2321,4.7,277.73,
12/12/19,0.1,3,1,cup,10:30,10:35,3.6,10:40,3.3,10:45,1.6,10:50,1.2,10:55,0.7,11:00,0.4,11:05,0.3,11:10,0,,,,,,,,,,,,,,,,,11.1,11.6,0.2951,0.24,14.18,
12/12/19,2,2,3,cup,10:31,10:36,39.4,10:41,42.3,10:46,30.2,10:51,16.2,10:56,12.3,11:01,9.7,11:06,6.3,11:11,3.8,11:16,2.6,11:21,1.6,11:26,1.1,11:31,0.7,11:36,0.3,11:41,0,,,,,166.5,,0.226,4.7,277.73,
12/12/19,0.1,1,1,MP,10:56,11:01,3.7,11:06,1.1,11:11,1.1,11:16,0.8,11:21,0.6,11:26,0.5,11:31,0,,,,,,,,,,,,,,,,,,,7.8,7.8,0.1542,0.24,14.18,
12/12/19,1.5,1,3,cup,12:25,12:31,30.8,12:37,25.4,12:42,12.4,12:47,9.4,12:52,4.7,12:57,4,13:02,2.5,13:07,1.6,13:12,1.2,13:17,0.9,13:22,0.6,13:27,0.4,13:32,0.3,12:37,0,,,,,94.2,,0.1669,3.6,212.73,
12/12/19,0.5,1,1,MP,12:26,12:32,9.3,12:38,8.4,12:43,3.6,12:48,3.6,12:53,2.6,12:58,2,13:03,1.7,13:08,1.3,13:13,0.8,13:18,1,13:23,0.6,13:28,0.5,13:33,0.3,12:38,0,,,,,35.7,35.7,0.1898,1.2,70.91,
12/12/19,1,1,1,MP,14:01,14:07,17,14:13,15,14:19,11.3,14:24,4.9,14:29,3.8,14:34,3.1,14:39,2.2,14:44,1.9,14:49,1.5,14:54,0.9,14:59,0.5,15:04,0.4,15:09,0.3,15:14,0,,,,,62.8,62.8,0.1669,2.4,141.82,
12/12/19,1.5,2,2,cup,14:02,14:08,34.9,14:14,28.7,14:20,17,14:25,6.5,14:30,5.9,14:35,3.9,14:40,2.7,14:45,1.7,14:50,1.2,14:55,0.6,15:00,0.3,15:05,0,,,,,,,,,103.4,,0.1832,3.6,212.73,
12/12/19,2,1,1,MP,15:14,15:20,27.3,15:26,25.9,15:32,16.5,15:37,6.8,15:42,6.9,15:47,7.3,15:52,5.3,15:57,3.9,16:02,3.3,16:07,3.3,16:12,1.9,16:17,1.7,16:22,1.3,16:27,1.1,16:32,1.9,16:37,0.3,114.7,114.7,0.1557,4.7,277.73,
12/12/19,2,3,3,cup,15:15,15:21,38.6,15:27,37.5,15:33,23.4,15:38,9.8,15:43,8.1,15:48,7.8,15:53,5.8,15:58,4.3,16:03,3,16:08,2.6,16:13,1.2,16:18,0.6,16:23,0.5,16:28,0.4,16:33,0.3,16:38,0,143.9,160.5,0.1953,4.7,277.73,
12/12/19,1.5,3,1,cup,15:16,14:08,38.9,14:14,34.7,14:20,17,14:25,6.5,14:30,5.9,14:35,3.9,14:40,2.7,14:45,1.7,14:50,1.2,14:55,0.6,15:00,0.3,15:05,0,,,,,,,,,113.4,103.7,0.201,3.6,212.73,
12/12/19,1.5,1,1,MP,,,20.1,,15.2,,12.1,,9.8,,8.7,,5.3,,4.1,,3.1,,2.6,,1.4,,0.9,,0.6,,0.3,,0,,,,,84.2,84.2,0.1492,3.6,212.73,