date,species,unique,leaf,cup,dessicator,percentage ,log10cup,log10dessicator
9/9/19,biflora,1,1,1.507275,30.35893976,0.950351527,0.178192496,1.4822866
9/9/19,biflora,1,2,1.146037037,20.70030769,0.944636715,0.059198653,1.315976801
9/9/19,biflora,1,3,0.630123457,5.824761905,0.891819877,-0.200574353,0.765278178
9/9/19,biflora,1,4,1.595,18.6816,0.914621874,0.202760687,1.271414069
9/9/19,biflora,1,5,1.007039216,10.80967442,0.90683908,0.003046383,1.033812613
9/9/19,biflora,2,1,1.270936508,13.4759322,0.905688416,0.104123855,1.129558817
9/9/19,biflora,2,2,1.236125,16.13582979,0.923392536,0.09206239,1.207791304
9/9/19,biflora,2,3,1.60496875,15.11011765,0.89378185,0.205466581,1.179267846
9/9/19,biflora,2,4,1.039538462,12.13717829,0.914350895,0.016840562,1.084117732
9/10/19,biflora,2,5,2.068666667,19.72903226,0.895146065,0.315690517,1.295105783
9/10/19,biflora,3,1,0.53592,5.436444444,0.901420863,-0.270900035,0.735314954
9/10/19,biflora,3,2,0.356093023,4.077333333,0.912665217,-0.448436535,0.610376218
9/10/19,biflora,3,3,0.180566038,2.265185185,0.920286412,-0.743363931,0.355103713
9/10/19,biflora,3,4,0.531666667,4.8928,0.89133693,-0.274360567,0.689557464
9/10/19,biflora,3,5,1.063333333,10.008,0.893751665,0.026669428,1.000347297
9/10/19,biflora,1,6,0.212666667,2.329904762,0.908723022,-0.672300575,0.367338169
9/10/19,biflora,2,6,1.526642857,13.64338462,0.888103803,0.18373745,1.134922122