species,date,plant,tissue type,HCN
P.arbelaezii,10/30/12,bridge,new leaf,2.8
P.vitifolia,11/1/12,sp3,mature leaf,0.001
P.vitifolia,11/1/12,sp3,new leaf,0.003
P.vitifolia,11/1/12,sp3,stem,0.082
P.vitifolia,11/1/12,sp3,stem,0.385
P.vitifolia,11/1/12,sp3,new leaf,0.003
P.vitifolia,11/1/12,sp3,tendril,0.007
P.vitifolia,11/1/12,sp3,mature leaf,0.001
P.vitifolia,11/1/12,sp3,new leaf,0.001
P.vitifolia,11/1/12,sp3,stem,0.016
P.vitifolia,11/1/12,sp3,stem,0.09
P.arbelaezii,11/2/12,CAZ 189,mature leaf,5.13906
P.arbelaezii,11/2/12,CAZ 189,new leaf,4.02465
P.arbelaezii,11/2/12,CAZ 189,new leaf,5.91741
P.arbelaezii,11/2/12,CAZ 189,mature leaf,4.41324
P.arbelaezii,11/2/12,CAZ 189,new leaf,6.49033
P.arbelaezii,11/2/12,CAZ 189,mature leaf,5.2963
P.lobata,11/3/12,SUR 365,new leaf,0.004
P.lobata,11/3/12,SUR 365,mature leaf,0.002
P.lobata,11/3/12,SUR 365,old leaf,0.002
P.lobata,11/3/12,SUR 365,stem,0.002
P.lobata,11/3/12,SUR 365,stem,0.006
P.lobata,11/3/12,SUR 365,tendril,0.002
P.menispermifolia,11/4/12,inner gate,old leaf,0.03335
P.menispermifolia,11/4/12,inner gate,new leaf,8.01538
P.menispermifolia,11/4/12,inner gate,mature leaf,7.1162
P.auriculata,11/4/12,front gate,mature leaf,0.15528
P.auriculata,11/4/12,front gate,new leaf,0.1334
P.auriculata,11/4/12,front gate,stem,0.84869
P.arbelaezii,11/4/12,CAZ 156,new leaf,4.90555
P.arbelaezii,11/4/12,CAZ 156,mature leaf,2.44091
P.pittieri,11/5/12,lab,stem,4.933
P.arbelaezii,11/5/12,CAZ 204,new leaf,7.022
P.arbelaezii,11/5/12,CAZ 204,mature leaf,2.043
P.arbelaezii,11/5/12,CAZ 204,stem,4.809
P.arbelaezii,11/6/12,CAZ 272,new leaf,8.5343
P.arbelaezii,11/6/12,CAZ 272,mature leaf,7.87351
P.arbelaezii,11/6/12,CAZ 272,new leaf,8.40551
P.arbelaezii,11/6/12,CAZ 272,stem,2.96214
P.auriculata,11/8/12,boat ramp,new leaf,0.08977
P.auriculata,11/8/12,boat ramp,mature leaf,0.02921
P.biflora,11/8/12,inner gate,new leaf,6.12857
P.biflora,11/8/12,inner gate,mature leaf,1.53898
P.biflora,11/9/12,bridge n,flower,0.009
P.biflora,11/9/12,bridge n,flower,0.68399
P.biflora,11/9/12,bridge n,flower,1.29152
P.biflora,11/9/12,bridge n,flower,3.19196
P.oerstedii,11/12/12,SAZ 807,new leaf,0.017
P.oerstedii,11/12/12,SAZ 807,mature leaf,0.003
P.oerstedii,11/12/12,SAZ 807,stem,0.005
P.auriculata,11/12/12,CAZ 208,new leaf,0.13714
P.auriculata,11/12/12,CAZ 208,stem,0.76667
P.arbelaezii,11/12/12,CAZ 204,mature leaf,3.76134
P.ambigua,11/13/12,powerline,mature leaf,0.46652
P.ambigua,11/13/12,powerline,new leaf,0.04828
P.ambigua,11/13/12,powerline,old leaf,0.02643
P.ambigua,11/13/12,powerline,tendril,0.28311
P.ambigua,11/13/12,CES 131 n,mature leaf,1.52158
P.ambigua,11/13/12,CES 131 n,old leaf,0.14657
P.ambigua,11/13/12,CES 131 n,new leaf,5.05607
P.ambigua,11/13/12,CES 131 n,tendril,2.50702
P.ambigua,11/13/12,CES 131 n,stem,1.427
P.pittieri,11/13/12,lab,mature leaf,3.17137
P.pittieri,11/13/12,lab,new leaf,8.41518
P.pittieri,11/13/12,lab,old leaf,3.4592
P.ambigua,11/14/12,CES 868 n,tendril,0.04836
P.ambigua,11/14/12,CES 868 n,mature leaf,2.02158
P.ambigua,11/14/12,CES 868 n,old leaf,0.17791
P.ambigua,11/14/12,CES 868 n,new leaf,2.45277
P.ambigua,11/14/12,CES 868 n,stem,9.51786
P.vitifolia,11/14/12, CEN 685 s,new leaf,0.004
P.vitifolia,11/14/12, CEN 685 s,stem,0.00453
P.vitifolia,11/14/12, CEN 685 s,tendril,0.012
P.pittieri,11/14/12,CES 864 n,new leaf,0.59279
P.pittieri,11/14/12,CES 864 n,mature leaf,2.64063
P.pittieri,11/14/12,CES 864 n,old leaf,0.29351
P.pittieri,11/14/12,CES 864 n,stem,1.40978
P.biflora,11/14/12,behind dorm,new leaf,0.53933
P.biflora,11/14/12,behind dorm,mature leaf,0.2688
P.biflora,11/14/12,behind dorm,stem,0.50036
P.costaricensis,11/16/12,SP 2,mature leaf,7.55432
P.costaricensis,11/16/12,SP 2,old leaf,9.2168
P.costaricensis,11/16/12,SP 2,new leaf,12.95026
P.costaricensis,11/16/12,SP 2,stem,4.96528
P.menispermifolia,11/17/12,STR 703 n,new leaf,2.07817
P.menispermifolia,11/17/12,STR 703 n,mature leaf,3.98564
P.menispermifolia,11/17/12,STR 703 n,old leaf,2.10534
P.menispermifolia,11/17/12,STR 703 n,stem,4.00769
P.coriacea,11/17/12,STR 10062 s,old leaf,0.00919
P.ambigua,11/21/12,powerline,new leaf,0.25452
P.ambigua,11/21/12,powerline,old leaf,0.09283
P.ambigua,11/21/12,powerline,mature leaf,0.20696
P.ambigua,11/22/12,SUR -32 s,new leaf,9.51786
P.ambigua,11/22/12,SUR -32 s,mature leaf,7.83805
P.auriculata,11/22/12,boat ramp,mature leaf,0.01833
P.biflora,11/22/12,SAZ 600 s,new leaf,0.213
P.biflora,11/22/12,SAZ 600 s,new leaf,0.2016
P.biflora,11/22/12,SAZ 600 s,new leaf,0.1596
P.pittieri,11/23/12,SOR 203,new leaf,8.04375
P.pittieri,11/23/12,SOR 203,mature leaf,5.38644
P.pittieri,11/23/12,SOR 203,old leaf,6.51451
P.auriculata,11/23/12,SP2,new leaf,0.40901
P.auriculata,11/23/12,SP2,mature leaf,0.25232
P.auriculata,11/23/12,SP2,old leaf,0.02065
P.biflora,11/23/12,SP2,new leaf,0.82991
P.biflora,11/23/12,SP2,new leaf,1.22842
P.biflora,11/23/12,SP2,mature leaf,0.03246
P.costaricensis,11/23/12,SP1,new leaf,5.66574
P.costaricensis,11/23/12,SP1,mature leaf,4.65115
P.oerstedii,11/24/12,SP 2,fruit,0.003
P.costaricensis,11/24/12,SP1,mature leaf,6.1875
P.costaricensis,11/24/12,SP1,new leaf,4.12054
P.costaricensis,11/24/12,SP1,old leaf,9.63973
P.costaricensis,11/24/12,SP1,fruit,2.41554
P.oerstedii,11/25/12,inner/outer powerline,new leaf,0.01388
P.oerstedii,11/25/12,inner/outer powerline,mature leaf,0.003
P.oerstedii,11/25/12,inner/outer powerline,old leaf,0.003
P.oerstedii,11/25/12,inner/outer powerline,mature leaf,0.002
P.menispermifolia,11/25/12,outer gate parking,new leaf,8.64732
P.menispermifolia,11/25/12,outer gate parking,mature leaf,2.73597
P.auriculata,11/25/12,outer gate powerline,mature leaf,0.19488
P.auriculata,11/25/12,outer gate powerline,mature leaf,0.119
P.auriculata,11/25/12,outer gate powerline,mature leaf,0.02933
P.auriculata,11/26/12,outer gate,new leaf,0.08014
P.coriacea,11/26/12,SAZ end n,mature leaf,0.058
P.coriacea,11/26/12,SAZ end n,mature leaf,0.058
P.coriacea,11/26/12,SAZ end s,new leaf,0.091
P.coriacea,11/26/12,SAZ end n,mature leaf,0.008
P.auriculata,11/27/12,SP1-5,mature leaf,0.01306
P.auriculata,11/27/12,SP1-5,mature leaf,0.18379
P.auriculata,11/27/12,SP1-5,mature leaf,0.09055
P.auriculata,11/27/12,SP1-5,mature leaf,0.003
P.auriculata,11/27/12,SP1-5,mature leaf,0.36262
P.auriculata,11/27/12,SP1-5,mature leaf,0.03144
P.auriculata,11/27/12,SP1-5,mature leaf,0.003
P.auriculata,11/27/12,SP1-5,mature leaf,0.014
P.auriculata,11/27/12,SP1-5,mature leaf,0.19867
P.auriculata,11/27/12,SP1-5,mature leaf,0.0155
P.auriculata,11/27/12,SP1-5,mature leaf,0.01129
P.auriculata,11/27/12,SP1-5,mature leaf,0.01259
P.auriculata,11/27/12,SP1-5,mature leaf,0.03547
P.auriculata,11/27/12,SP1-5,mature leaf,0.03516
P.auriculata,11/27/12,SP1-5,mature leaf,0.05734
P.auriculata,11/27/12,SP1-5,mature leaf,0.03063
P.auriculata,11/27/12,SP1-5,mature leaf,0.01995
P.auriculata,11/27/12,SP1-5,mature leaf,0.16938
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.02797
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.09505
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.03385
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.61186
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.02612
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.168
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.07187
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,1.05801
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.04766
P.auriculata,11/28/12,Inner-outer gate area,mature leaf,0.08479
P.biflora,11/28/12,Inner gate area,mature leaf,0.43048
P.auriculata,12/1/12,SP4,mature leaf,0.20493
P.auriculata,12/1/12,SP3,mature leaf,0.04119
P.pittieri,12/6/12,STR 2184 s,old leaf,0.43378
P.pittieri,12/8/12,lab clearing,mature leaf,5.66574
P.pittieri,12/8/12,lab clearing,stem,0.128
P.pittieri,12/8/12,lab clearing,stem,0.23214
P.ambigua,12/9/12,SOR 530 n Fat Y FB,mature leaf,0.99119
P.ambigua,12/9/12,SEDR 3 s,mature leaf,1.54688
P.auriculata,12/9/12,SP4 sara ovip plant,new leaf,0.3179
P.menispermifolia,12/13/12,DSA Y +31m,mature leaf,5.38074
P.menispermifolia,12/13/12,DSA 60m below gate,mature leaf,3.27036
P.auriculata,12/13/12,SAZ 640 s many YYL,mature leaf,0.012
P.biflora,12/13/12,SAZ 640 s many YYL,mature leaf,0.038
P.biflora,12/13/12,DSA nr. Gate Blu FB,mature leaf,0.039
P.auriculata,12/16/12,AUR (FB boat ramp),mature leaf,0.014
P.biflora,12/16/12,BI (FB boat ramp),mature leaf,0.08
P.biflora,12/16/12,BI (noFB gate area),mature leaf,0.147
P.biflora,12/16/12,BI (noFB comedor),mature leaf,0.018
P.auriculata,12/16/12,AUR (no FB),mature leaf,0.032
P.biflora,12/20/12,BI SAZ end,new leaf,0.03547
P.coriacea,12/20/12,COR SAZ end #3,new leaf,0.147
P.coriacea,12/20/12,COR SAZ end #3,mature leaf,0.174
P.coriacea,12/20/12,COR SAZ end #3,new leaf,0.975
P.coriacea,12/20/12,COR SAZ end #3,mature leaf,0.058
P.coriacea,12/20/12,COR SAZ end #2,new leaf,1.683
P.coriacea,12/20/12,COR SAZ end #2,mature leaf,0.022
P.coriacea,12/20/12,COR SAZ end #1,mature leaf,1.897
P.coriacea,12/20/12,COR SAZ end #1,new leaf,1.497
P.pittieri,12/26/12,CES859n,new leaf,0.4332
P.pittieri,12/26/12,CES859n (bigger sample),new leaf,1.35946
P.biflora,12/30/12,SP2 (FB plant),new leaf,0.011
P.biflora,12/31/12,STR 2739s,new leaf,1.07366
P.biflora,12/31/12,AM junction,new leaf,4.03302
P.biflora,12/31/12,AM junction,new leaf,0.168
P.ambigua,1/1/13,"AM ""S""",mature leaf,1.16343
P.ambigua,1/1/13,"AM ""S""",mature leaf,5.3006
P.menispermifolia,1/1/13,"AM ""S""",mature leaf,0.63839
P.menispermifolia,1/1/13,"AM ""S""",new leaf,5.02477
P.oerstedii,1/4/13,SAZ 807,new leaf,0.022
P.auriculata,1/4/13,boat ramp,new leaf,0.018
P.biflora,1/4/13,bridge n,new leaf,3.785
P.ambigua,1/10/13,SOR 350,new leaf,5.89963
P.menispermifolia,1/10/13,front gate,new leaf,7.64076
P.costaricensis,1/10/13,SP2,new leaf,21.38616
P.pittieri,1/29/13,lab clearing,new leaf,8.29911
P.pittieri,1/29/13,lab clearing,new leaf,5.10714
P.quadrangularis,1/30/13,SP4,new leaf,1.02698
P.quadrangularis,1/30/13,SP4,new leaf,2.32375
P.quadrangularis,1/30/13,SP4,new leaf,5.18452
P.quadrangularis,1/30/13,SP4,new leaf,0.19152
P.auriculata,1/30/13,SP5,new leaf,0.027
P.auriculata,1/30/13,SP5,new leaf,0.04859
P.auriculata,2/18/13,shadehouse,new leaf,3.0042
P.auriculata,2/18/13,shadehouse,new leaf,3.00045
P.auriculata,2/18/13,shadehouse,new leaf,8.36631
P.biflora,2/18/13,inner gate area,new leaf,0.12
P.biflora,2/18/13,inner gate area,new leaf,1.63145
P.biflora,2/18/13,inner gate area,new leaf,0.3192
P.biflora,2/18/13,inner gate area,new leaf,0.66204
P.biflora,2/18/13,shadehouse,new leaf,2.78713
P.ambigua,2/22/13,CES 131 n,new leaf,6.16295
P.arbelaezii,2/22/13,Ped larva lived,mature leaf,6.52073
P.arbelaezii,2/22/13,Ped larva died,mature leaf,13.64565
P.biflora,2/26/13,inner gate area lab trial,new leaf,0.192
P.costaricensis,2/26/13,SP 2 lab trial,new leaf,0.798
P.coriacea,2/26/13,SAZ hill lab trial,new leaf,0.021
P.auriculata,3/2/13,boat ramp,new leaf,0.012
P.auriculata,3/2/13,boat ramp,new leaf,0.024
P.biflora,3/6/13,SAZ 640 n,new leaf,2.32143
P.biflora,3/6/13,SAZ 640 n,mature leaf,6.40327
P.biflora,3/7/13,SAZ 640 n,new leaf,0.064
P.biflora,3/7/13,SAZ 640 n,new leaf,0.066
P.biflora,3/7/13,SAZ 640 n,new leaf,0.2964
P.biflora,3/7/13,SAZ 640 n,new leaf,1.03739
P.biflora,3/7/13,SAZ 640 n,new leaf,1.63429
P.biflora,3/7/13,SAZ 640 n,mature leaf,2.78571
P.biflora,3/7/13,SAZ 640 n,mature leaf,3.31964
P.biflora,3/7/13,SAZ 640 n,mature leaf,4.77021
P.biflora,3/7/13,SAZ 640 n,stem,0.50574
P.biflora,3/7/13,SAZ 640 n,stem,0.06384
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.16
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.137
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.174
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.047
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.05
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.04
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.052
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.039
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.052
P.biflora,3/7/13,SAZ 640 n,stem,0.046
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.038
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.043
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.044
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.05
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.053
P.biflora,3/7/13,SAZ 640 n,mature leaf,0.056
P.biflora,3/7/13,SAZ 640 n,stem,0.032
P.biflora,3/7/13,SAZ 640 n,stem,0.038
P.biflora,3/7/13,SAZ 640 n,stem,0.07344
P.biflora,3/8/13,comedor coll. 0630,new leaf,8.26155
P.biflora,3/8/13,comedor coll. 0630,new leaf,0.67031
P.biflora,3/8/13,comedor coll. 0630,mature leaf,0.08327
P.biflora,3/8/13,comedor coll. 1900,new leaf,4.44674
P.biflora,3/8/13,comedor coll. 1900,new leaf,0.304
P.ambigua,3/9/13,lab powerline,new leaf,1.57561
P.ambigua,3/9/13,lab powerline,new leaf,0.73996
P.ambigua,3/9/13,lab powerline,new leaf,0.4368
P.ambigua,3/9/13,lab powerline,new leaf,0.52833
P.ambigua,3/9/13,lab powerline,new leaf,0.44252
P.ambigua,3/9/13,lab powerline,new leaf,0.36012
P.ambigua,3/9/13,lab powerline,mature leaf,0.10449
P.biflora,3/9/13,comedor coll. 0630 + 24,new leaf,2.94643
P.biflora,3/9/13,comedor coll. 0630 + 24,mature leaf,0.133
P.ambigua,3/10/13,lab powerline,new leaf,1.70672
P.ambigua,3/10/13,lab powerline,new leaf,0.72808
P.ambigua,3/10/13,lab powerline,new leaf,0.57508
P.ambigua,3/10/13,lab powerline,new leaf,2.95041
P.ambigua,3/10/13,lab powerline,new leaf,0.58036
P.ambigua,3/10/13,lab powerline,old leaf,0.07591
P.ambigua,3/10/13,lab powerline,new leaf,0.89621
P.ambigua,3/10/13,lab powerline,new leaf,0.78026
P.ambigua,3/10/13,lab powerline,new leaf,0.59279
P.ambigua,3/10/13,lab powerline,new leaf,0.52017
P.ambigua,3/10/13,lab powerline,new leaf,0.83937
P.ambigua,3/10/13,lab powerline,new leaf,0.72239
P.ambigua,3/10/13,lab powerline,new leaf,0.6569
P.ambigua,3/10/13,lab powerline,mature leaf,0.16198
P.ambigua,3/10/13,lab powerline,mature leaf,0.29831
P.ambigua,3/10/13,lab powerline,mature leaf,0.51975
P.biflora,3/10/13,comedor 1300+48,new leaf,7.80258
P.biflora,3/10/13,comedor 1300+48,new leaf,11.85587
P.ambigua,3/11/13,lab powerline,new leaf,2.0028
P.ambigua,3/11/13,lab powerline,new leaf,1.44932
P.ambigua,3/11/13,lab powerline,new leaf,1.96694
P.ambigua,3/11/13,lab powerline,new leaf,1.01079
P.ambigua,3/11/13,lab powerline,new leaf,0.65198
P.ambigua,3/11/13,lab powerline,new leaf,0.93924
P.ambigua,3/11/13,lab powerline,mature leaf,0.68095
P.ambigua,3/11/13,lab powerline,mature leaf,0.76706
P.ambigua,3/11/13,lab powerline,mature leaf,1.61923
P.ambigua,3/11/13,lab powerline,mature leaf,0.48877
P.ambigua,3/11/13,lab powerline,mature leaf,0.64668
P.ambigua,3/11/13,lab powerline,mature leaf,1.1599
P.pittieri,3/15/13,SOR 203 n,new leaf,4.91563
P.pittieri,3/15/13,SOR 203 n,new leaf,5.84946
P.pittieri,3/15/13,SOR 203 n,new leaf,9.69559
P.pittieri,3/15/13,SOR 203 n,new leaf,12.07626
P.pittieri,3/15/13,SOR 203 n,new leaf,14.50064
P.pittieri,3/15/13,SOR 203 n,new leaf,8.00119
P.pittieri,3/15/13,SOR 203 n,new leaf,17.875
P.pittieri,3/15/13,SOR 203 n,new leaf,20.58817
P.pittieri,3/15/13,SOR 203 n,mature leaf,11.32083
P.pittieri,3/15/13,SOR 203 n,mature leaf,8.63708
P.pittieri,3/15/13,SOR 203 n,mature leaf,11.93304
P.pittieri,3/15/13,SOR 203 n,mature leaf,12.96429
P.pittieri,3/15/13,SOR 203 n,mature leaf,7.90625
P.pittieri,3/15/13,SOR 203 n,mature leaf,11
P.pittieri,3/15/13,SOR 203 n,mature leaf,15.14732
P.pittieri,3/15/13,SOR 203 n,mature leaf,11.76467
P.pittieri,3/15/13,SOR 203 n,mature leaf,13.63839
P.pittieri,3/15/13,SOR 203 n,old leaf,6.87211
P.pittieri,3/15/13,SOR 203 n,old leaf,9.0971
P.pittieri,3/15/13,SOR 203 n,old leaf,11.56618
P.pittieri,3/16/13,lab clearing,new leaf,5.48438
P.pittieri,3/16/13,lab clearing,new leaf,5.45536
P.pittieri,3/16/13,lab clearing,new leaf,5.02734
P.pittieri,3/16/13,lab clearing,new leaf,5.70298
P.pittieri,3/16/13,lab clearing,new leaf,7.44127
P.pittieri,3/16/13,lab clearing,new leaf,9.40565
P.pittieri,3/16/13,lab clearing,new leaf,9.75829
P.pittieri,3/16/13,lab clearing,new leaf,11.17188
P.pittieri,3/16/13,lab clearing,new leaf,11.64307
P.pittieri,3/16/13,lab clearing,new leaf,13.25604
P.pittieri,3/16/13,lab clearing,new leaf,14.74688
P.pittieri,3/16/13,lab clearing,new leaf,9.92411
P.coriacea,3/21/13,inner power line,new leaf,0.23121
P.coriacea,3/21/13,inner power line,new leaf,0.1079
P.coriacea,3/21/13,inner power line,new leaf,0.42134
P.coriacea,3/21/13,inner power line,new leaf,0.13058
P.coriacea,3/21/13,inner power line,new leaf,0.01859
P.coriacea,3/21/13,inner power line,new leaf,0.009
P.coriacea,3/21/13,inner power line,fruit,0.012
P.vitifolia,3/23/13,SOR 420,fruit,0.106
P.vitifolia,3/23/13,SOR 420,fruit,0.4281
P.vitifolia,3/23/13,SOR 420,fruit,2.21141
P.vitifolia,3/23/13,SOR 420,fruit,0.017
P.vitifolia,3/23/13,SOR 420,fruit,0.66513
P.vitifolia,3/23/13,SOR 420,fruit,0.07452
P.coriacea,3/24/13,inner power line,new leaf,0.87852
P.coriacea,3/24/13,inner power line,new leaf,0.9271
P.biflora,3/26/13,AM,new leaf,8.5119
P.biflora,3/26/13,AM,new leaf,7.02232
P.biflora,3/26/13,AM,new leaf,5.45536
P.biflora,3/26/13,AM,new leaf,4.51786
P.biflora,3/26/13,AM,new leaf,3.34518
P.biflora,3/26/13,AM,new leaf,3.53776
P.biflora,3/26/13,AM,fruit,0.04
P.biflora,3/26/13,AM,fruit,0.66499
P.biflora,3/26/13,AM,fruit,1.88616
P.arbelaezii,3/30/13,mystery fruit from CCL430,fruit,0.47324
P.pittieri,3/31/13,PIT lab dried,new leaf,0.106
P.lobata,3/31/13,LOB ,new leaf,0.001
P.lobata,3/31/13,LOB ,stem,0.001
P.oerstedii,4/2/13,OER bridge,new leaf,0.01251
P.menispermifolia,4/2/13,MEN inner power line,fruit,1.11924
P.arbelaezii,4/2/13,ARB #B hecale host,new leaf,3.30804
P.ambigua,4/5/13,shadehouse AMB,root,1.91003
P.oerstedii,4/5/13,shadehouse OER,root,0.15148
P.menispermifolia,4/5/13,shadehouse MEN,root,0.213
P.menispermifolia,4/5/13,shadehouse MEN,root,0.77519
P.vitifolia,4/5/13,shadehouse VIT,root,0.09891
P.quadrangularis,4/5/13,shadehouse QUA,root,1.19893
P.pittieri,4/5/13,shadehouse PIT,root,0.0399
P.lobata,4/5/13,shadehouse LOB,root,0.096
P.lobata,4/5/13,shadehouse LOB,root,0.01133
P.auriculata,4/5/13,shadehouse AUR,root,5.98493
P.biflora,4/5/13,shadehouse BI,root,0.29464
P.biflora,4/5/13,shadehouse BI,root,0.54263
P.arbelaezii,4/5/13,shadehouse ARB,root,0.80863
P.costaricensis,4/5/13,shadehouse COS,root,0.4389
P.coriacea,4/5/13,shadehouse COR,root,2.55357
P.oerstedii,11/7/13,OER bridge; shadehouse stressed; cage C,mature leaf,0.006
P.oerstedii,11/7/13,OER bridge; shadehouse stressed; cage C,mature leaf,0.01
P.vitifolia,11/7/13,VIT SP; shadehouse stressed; cage E,mature leaf,0.043
P.vitifolia,11/7/13,VIT SP; shadehouse stressed; cage E,mature leaf,0.023
P.lobata,11/7/13,LOB SUR 365; shadehouse stressed; cage B,mature leaf,0.015
P.lobata,11/7/13,LOB SUR 365; shadehouse stressed; cage B,mature leaf,0.011
P.auriculata,11/7/13,"AUR ""G"" outer gate; shadehouse stressed; cage A",mature leaf,0.66879
P.auriculata,11/7/13,"AUR ""G"" outer gate; shadehouse stressed; cage A",mature leaf,0.3192
P.auriculata,11/7/13,AUR outer gate; shadehouse stressed; cage D,mature leaf,0.02
P.auriculata,11/7/13,AUR outer gate; shadehouse stressed; cage D,mature leaf,0.066
P.auriculata,11/7/13,AUR outer gate; shadehouse stressed; cage D,mature leaf,0.019
P.costaricensis,11/7/13,COS SP; shadehouse stressed; red lvs; #12,old leaf,0.077
P.costaricensis,11/7/13,COS SP; shadehouse stressed; reddish green lvs; #6,mature leaf,2.79193
P.costaricensis,11/7/13,COS SP; shadehouse stressed; green lvs; #2,new leaf,6.44777
P.ambigua,11/8/13,AMB SOR1; shadehouse stressed,mature leaf,5.92287
P.ambigua,11/8/13,AMB garden,new leaf,3.37202
P.ambigua,11/8/13,AMB garden,new leaf,4.19515
